Cross,Total,Dedicated,Compatibilities,CapsuleCollections,PlantCount,SuccessRate,CleanedSeed,SeedPerCapsule,Program,Group,FemaleCode,MaleCode,FemaleParent,MaleParent,Parents
9x34,9,9,0,0,,,0,,OSP,BWR,9,34,9916-001,10432-009,9916-001 x 10432-009
14x29,5,5,0,1,,0.2,0,,OSP,BWR,14,29,10287-082,10406-003,10287-082 x 10406-003
18x15,1,1,0,0,,0,0,,OSP,BWR,18,15,9224-007,10430-003,9224-007 x 10430-003
19x15,43,43,0,0,,0,0,,OSP,BWR,19,15,9234-030,10430-003,9234-030 x 10430-003
20x5,5,5,0,0,,0,0,,OSP,BWR,20,5,9256-003,8410-001,9256-003 x 8410-001
26x25,3,3,0,0,,0,0,,OSP,BWR,26,25,10405-001,10430-002,10405-001 x 10430-002
34x21,1,0,1,0,,,0,,OSP,BWR,34,21,10432-009,9800-001,10432-009 x 9800-001
19x4,49,30,19,0,,0,0,,OSP,BWR(BxR),19,4,9234-030,8407-043,9234-030 x 8407-043
19x27,26,7,19,0,,0,0,,OSP,BWR(BxR),19,27,9234-030,10405-002,9234-030 x 10405-002
19x6,23,4,19,0,,0,0,,OSP,BWR(BxR),19,6,9234-030,8737-015,9234-030 x 8737-015
19x28,22,3,19,0,,0,0,,OSP,BWR(BxR),19,28,9234-030,10405-003,9234-030 x 10405-003
19x23,20,1,19,0,,0,0,,OSP,BWR(BxR),19,23,9234-030,10075-001,9234-030 x 10075-001
19x25,19,0,19,0,,0,0,,OSP,BWR(BxR),19,25,9234-030,10430-002,9234-030 x 10430-002
19x18,13,0,13,0,,0,0,,OSP,BWR(BxR),19,18,9234-030,9224-007,9234-030 x 9224-007
19x24,7,0,7,0,,0,0,,OSP,BWR(BxR),19,24,9234-030,10430-001,9234-030 x 10430-001
19x7,3,0,3,0,,0,0,,OSP,BWR(BxR),19,7,9234-030,9045-003,9234-030 x 9045-003
20x25,257,245,12,29,,0.19,15,0.88,OSP,BWR(BxR),20,25,9256-003,10430-002,9256-003 x 10430-002
20x27,25,6,19,1,,0.04,0,,OSP,BWR(BxR),20,27,9256-003,10405-002,9256-003 x 10405-002
20x23,24,5,19,0,,0,0,,OSP,BWR(BxR),20,23,9256-003,10075-001,9256-003 x 10075-001
20x6,22,3,19,1,,0.05,0,,OSP,BWR(BxR),20,6,9256-003,8737-015,9256-003 x 8737-015
20x28,19,0,19,2,,0.11,2,1,OSP,BWR(BxR),20,28,9256-003,10405-003,9256-003 x 10405-003
20x4,19,0,19,2,,0.11,2,1,OSP,BWR(BxR),20,4,9256-003,8407-043,9256-003 x 8407-043
20x18,5,0,5,0,,0,0,,OSP,BWR(BxR),20,18,9256-003,9224-007,9256-003 x 9224-007
20x7,2,0,2,0,,0,0,,OSP,BWR(BxR),20,7,9256-003,9045-003,9256-003 x 9045-003
20x24,1,0,1,0,,0,0,,OSP,BWR(BxR),20,24,9256-003,10430-001,9256-003 x 10430-001
21x12,712,702,10,150,,0.36,19,1.19,OSP,BWR(BxR),21,12,9800-001,10076-036,9800-001 x 10076-036
21x3,245,234,11,75,,0.5,6,1.5,OSP,BWR(BxR),21,3,9800-001,8035-008,9800-001 x 8035-008
21x6,106,95,11,36,,0.34,5,1.67,OSP,BWR(BxR),21,6,9800-001,8737-015,9800-001 x 8737-015
21x4,12,0,12,1,,0.08,0,,OSP,BWR(BxR),21,4,9800-001,8407-043,9800-001 x 8407-043
21x23,11,0,11,0,,0,0,,OSP,BWR(BxR),21,23,9800-001,10075-001,9800-001 x 10075-001
21x25,11,0,11,0,,0,0,,OSP,BWR(BxR),21,25,9800-001,10430-002,9800-001 x 10430-002
21x28,11,0,11,0,,0,0,,OSP,BWR(BxR),21,28,9800-001,10405-003,9800-001 x 10405-003
21x29,11,0,11,0,,0,0,,OSP,BWR(BxR),21,29,9800-001,10406-003,9800-001 x 10406-003
21x5,10,0,10,0,,0,0,,OSP,BWR(BxR),21,5,9800-001,8410-001,9800-001 x 8410-001
21x27,8,0,8,0,,0,0,,OSP,BWR(BxR),21,27,9800-001,10405-002,9800-001 x 10405-002
21x24,3,0,3,0,,0,0,,OSP,BWR(BxR),21,24,9800-001,10430-001,9800-001 x 10430-001
21x18,2,0,2,0,,0,0,,OSP,BWR(BxR),21,18,9800-001,9224-007,9800-001 x 9224-007
21x15,1,0,1,0,,0,0,,OSP,BWR(BxR),21,15,9800-001,10430-003,9800-001 x 10430-003
26x12,496,477,19,47,,0.17,8,2,OSP,BWR(BxR),26,12,10405-001,10076-036,10405-001 x 10076-036
26x23,24,5,19,0,,0,0,,OSP,BWR(BxR),26,23,10405-001,10075-001,10405-001 x 10075-001
26x3,19,0,19,0,,0,0,,OSP,BWR(BxR),26,3,10405-001,8035-008,10405-001 x 8035-008
26x4,19,0,19,0,,0,0,,OSP,BWR(BxR),26,4,10405-001,8407-043,10405-001 x 8407-043
26x6,19,0,19,0,,0,0,,OSP,BWR(BxR),26,6,10405-001,8737-015,10405-001 x 8737-015
26x15,6,0,6,0,,0,0,,OSP,BWR(BxR),26,15,10405-001,10430-003,10405-001 x 10430-003
26x18,5,0,5,0,,0,0,,OSP,BWR(BxR),26,18,10405-001,9224-007,10405-001 x 9224-007
30x12,302,283,19,44,,0.23,5,1.67,OSP,BWR(BxR),30,12,10432-002,10076-036,10432-002 x 10076-036
30x15,196,177,19,1,,0.02,0,,OSP,BWR(BxR),30,15,10432-002,10430-003,10432-002 x 10430-003
30x4,22,4,18,0,,0,0,,OSP,BWR(BxR),30,4,10432-002,8407-043,10432-002 x 8407-043
30x23,19,0,19,0,,0,0,,OSP,BWR(BxR),30,23,10432-002,10075-001,10432-002 x 10075-001
30x27,19,0,19,1,,0.05,0,,OSP,BWR(BxR),30,27,10432-002,10405-002,10432-002 x 10405-002
30x29,19,0,19,0,,0,0,,OSP,BWR(BxR),30,29,10432-002,10406-003,10432-002 x 10406-003
30x3,19,0,19,0,,0,0,,OSP,BWR(BxR),30,3,10432-002,8035-008,10432-002 x 8035-008
30x6,19,0,19,1,,0.05,0,,OSP,BWR(BxR),30,6,10432-002,8737-015,10432-002 x 8737-015
30x25,18,0,18,0,,0,0,,OSP,BWR(BxR),30,25,10432-002,10430-002,10432-002 x 10430-002
30x28,17,0,17,0,,0,0,,OSP,BWR(BxR),30,28,10432-002,10405-003,10432-002 x 10405-003
30x5,17,0,17,0,,0,0,,OSP,BWR(BxR),30,5,10432-002,8410-001,10432-002 x 8410-001
30x17,13,0,13,0,,0,0,,OSP,BWR(BxR),30,17,10432-002,9031-031,10432-002 x 9031-031
30x24,4,0,4,0,,0,0,,OSP,BWR(BxR),30,24,10432-002,10430-001,10432-002 x 10430-001
30x18,3,0,3,0,,0,0,,OSP,BWR(BxR),30,18,10432-002,9224-007,10432-002 x 9224-007
30x7,2,0,2,0,,0,0,,OSP,BWR(BxR),30,7,10432-002,9045-003,10432-002 x 9045-003
31x6,130,117,13,63,,0.49,31,1.07,OSP,BWR(BxR),31,6,10432-015,8737-015,10432-015 x 8737-015
31x3,18,0,18,1,,0.06,0,,OSP,BWR(BxR),31,3,10432-015,8035-008,10432-015 x 8035-008
31x4,18,0,18,1,,0.06,1,1,OSP,BWR(BxR),31,4,10432-015,8407-043,10432-015 x 8407-043
31x5,18,0,18,2,,0.11,0,,OSP,BWR(BxR),31,5,10432-015,8410-001,10432-015 x 8410-001
31x12,17,0,17,2,,0.12,4,2,OSP,BWR(BxR),31,12,10432-015,10076-036,10432-015 x 10076-036
31x15,17,0,17,1,,0.06,0,,OSP,BWR(BxR),31,15,10432-015,10430-003,10432-015 x 10430-003
31x23,15,0,15,0,,0,0,,OSP,BWR(BxR),31,23,10432-015,10075-001,10432-015 x 10075-001
31x27,11,0,11,0,,0,0,,OSP,BWR(BxR),31,27,10432-015,10405-002,10432-015 x 10405-002
31x28,11,0,11,1,,0.09,2,2,OSP,BWR(BxR),31,28,10432-015,10405-003,10432-015 x 10405-003
31x29,11,0,11,1,,0.09,0,,OSP,BWR(BxR),31,29,10432-015,10406-003,10432-015 x 10406-003
31x25,9,0,9,0,,0,0,,OSP,BWR(BxR),31,25,10432-015,10430-002,10432-015 x 10430-002
31x17,7,0,7,0,,0,0,,OSP,BWR(BxR),31,17,10432-015,9031-031,10432-015 x 9031-031
31x18,4,0,4,0,,0,0,,OSP,BWR(BxR),31,18,10432-015,9224-007,10432-015 x 9224-007
31x7,2,0,2,1,,0.5,1,1,OSP,BWR(BxR),31,7,10432-015,9045-003,10432-015 x 9045-003
32x15,44,25,19,1,,0.03,0,,OSP,BWR(BxR),32,15,10432-003,10430-003,10432-003 x 10430-003
32x12,9,0,9,1,,0.12,0,,OSP,BWR(BxR),32,12,10432-003,10076-036,10432-003 x 10076-036
32x25,9,0,9,0,,0,0,,OSP,BWR(BxR),32,25,10432-003,10430-002,10432-003 x 10430-002
32x29,5,0,5,0,,0,0,,OSP,BWR(BxR),32,29,10432-003,10406-003,10432-003 x 10406-003
32x23,4,0,4,0,,0,0,,OSP,BWR(BxR),32,23,10432-003,10075-001,10432-003 x 10075-001
32x3,4,0,4,0,,0,0,,OSP,BWR(BxR),32,3,10432-003,8035-008,10432-003 x 8035-008
32x4,4,0,4,0,,0,0,,OSP,BWR(BxR),32,4,10432-003,8407-043,10432-003 x 8407-043
32x5,4,0,4,0,,0,0,,OSP,BWR(BxR),32,5,10432-003,8410-001,10432-003 x 8410-001
32x6,3,0,3,0,,,0,,OSP,BWR(BxR),32,6,10432-003,8737-015,10432-003 x 8737-015
